lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
3142.6768,3143.587,0.073,1.5474
3143.3757,3144.286,0.0637,1.0259
3143.6824,3144.593,0.1236,1.0973
3144.0857,3144.996,0.0954,1.9536
3145.5142,3146.425,0.0835,2.2297
3145.9248,3146.836,0.0654,1.5056
3147.2148,3148.126,0.0414,0.8647
3147.7874,3148.699,0.0909,1.7371
3147.9854,3148.897,0.0659,0.9111
3148.1995,3149.111,0.0656,1.5384
3150.4873,3151.4,0.1228,1.31
3150.6965,3151.609,0.0717,0.8876
3150.9114,3151.824,0.0818,1.5038
3153.6616,3154.575,0.1632,0.777
3153.8359,3154.749,0.0598,0.8071
3154.0789,3154.992,0.0875,1.2577
3164.0518,3164.968,0.045,1.0627
3169.6096,3170.527,0.0923,0.8234
3171.6594,3172.577,0.0898,0.7946
3209.4827,3210.41,0.0819,1.083
3209.7666,3210.694,0.2848,0.914
3210.7603,3211.688,0.0604,0.8823
3211.752,3212.68,0.1043,1.2754
3211.9795,3212.907,0.0822,0.7092
3212.1833,3213.111,0.0889,1.3915
3213.6025,3214.531,0.0809,1.3191
3213.8083,3214.737,0.0684,0.7631
3214.0347,3214.963,0.0739,1.1345
3215.8848,3216.814,0.0901,1.0595
3216.0754,3217.004,0.0856,0.6274
3216.3118,3217.241,0.0831,1.119
3218.5747,3219.504,0.082,0.733
3218.6396,3219.569,0.0758,0.571
3218.7898,3219.719,0.0667,0.5156
3219.0349,3219.965,0.0747,1.1194
3221.7217,3222.652,0.0648,0.781
3221.8943,3222.825,0.2224,0.4868
3222.2017,3223.132,0.1282,0.708
3229.8706,3230.803,0.0638,0.6844
3236.3047,3237.239,0.0613,0.4956
3236.5024,3237.436,0.0617,0.5435
3238.8171,3239.752,0.085,0.428
3258.51,3259.45,0.1086,0.4183
3258.7251,3259.665,0.0663,0.4301
3258.8679,3259.808,0.0788,0.6943
3260.3518,3261.292,0.0506,0.4108
3260.5237,3261.464,0.0861,0.6425
3260.9724,3261.913,0.066,0.3609
3262.2676,3263.208,0.0645,0.74
3262.4739,3263.415,0.0604,0.5582
3262.6953,3263.636,0.1066,0.8325
3264.9661,3265.907,0.0803,0.6853
3265.1616,3266.103,0.1072,0.5978
3265.3821,3266.324,0.0627,0.8601
3267.0652,3268.007,0.0867,0.4853
3268.623,3269.565,0.0726,1.0508
3271.8921,3272.835,0.2694,0.7337
3276.1152,3277.059,0.0825,0.8237
3276.3347,3277.279,0.0825,0.8605
3280.8835,3281.829,0.0572,0.458
3281.0012,3281.947,0.048,0.2921
3281.1355,3282.081,0.1279,0.54
3281.3984,3282.344,0.2275,0.4233
3281.5955,3282.541,0.1052,0.3313
3281.7988,3282.744,0.061,0.2585
3285.7478,3286.694,0.0865,0.6926
3286.7048,3287.652,0.1076,0.6203
3286.9451,3287.892,0.0674,0.3322
3287.1746,3288.122,0.0598,0.5324
3288.5786,3289.526,0.0784,0.5357
3288.8167,3289.764,0.0774,0.373
3289.0286,3289.976,0.0648,0.5543
3290.8779,3291.826,0.0665,0.5813
3292.8406,3293.789,0.0332,0.5525
3293.1267,3294.075,0.0591,0.7015
