lambda_vac(A),Flux(10^-16^erg/s/cm2/{AA})
4000.0,1.472186102020367e-06
4000.05,0.00017098416864942556
4000.1000000000004,0.006049239674856708
4000.1500000000005,0.06519246257245086
4000.2000000000007,0.21401572972660082
4000.250000000001,0.21401592027898958
4000.300000000001,0.06519693239645548
4000.3500000000013,0.006118077351760483
4000.4000000000015,0.000888289257189495
4000.4500000000016,0.005058965551362472
4000.500000000002,0.024127955276267054
4000.550000000002,0.07788598123590482
4000.600000000002,0.17011862335784125
4000.6500000000024,0.2514190271744703
4000.7000000000025,0.2514190271700042
4000.7500000000027,0.17011862334877476
4000.800000000003,0.07788598122590232
4000.850000000003,0.024127951412076364
4000.9000000000033,0.005057493364452277
4000.9500000000035,0.0007173050884405109
4001.0000000000036,6.8837679140489e-05
4001.050000000004,4.469945682185492e-06
4001.100000000004,1.9639570673046668e-07
4001.150000000004,5.8386904624495405e-09
4001.2000000000044,1.1744989472310704e-10
4001.2500000000045,1.5986136976479589e-12
4001.3000000000047,1.472272316231623e-14
4001.350000000005,9.174586084932633e-17
4001.400000000005,3.868463754210028e-19
4001.4500000000053,1.1036828702957998e-21
4001.5000000000055,2.130609161911476e-24
4001.5500000000056,2.783024286549889e-27
4001.600000000006,2.459710077122411e-30
4001.650000000006,1.4709725300105515e-33
4001.700000000006,5.952219284360041e-37
4001.7500000000064,1.6296975050736244e-40
4001.8000000000065,3.019178546096729e-44
4001.8500000000067,3.784637697408818e-48
4001.900000000007,3.2100629051387317e-52
4001.950000000007,1.8422836301915003e-56
4002.0000000000073,7.154069605149046e-61
4002.0500000000075,1.8797649495945682e-65
4002.1000000000076,3.3420092804583545e-70
4002.150000000008,4.0203649092513553e-75
4002.200000000008,3.272480096788052e-80
4002.250000000008,1.8023630359533373e-85
4002.3000000000084,6.716781924442646e-91
4002.3500000000085,1.693690074079508e-96
4002.4000000000087,2.8897505463370803e-102
4002.450000000009,3.3361109425367002e-108
4002.500000000009,2.6059995289424816e-114
4002.5500000000093,1.377405773599991e-120
4002.6000000000095,4.9260995402904745e-127
4002.6500000000096,1.1920601925254659e-133
4002.70000000001,1.9518520972723628e-140
4002.75000000001,2.1624662788441657e-147
4002.80000000001,1.621083928105312e-154
4002.8500000000104,8.2227175838518195e-162
