lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  8614.5566    8616.9230  0.1842    0.0944
  8615.5605    8617.9270  0.1784    0.2023
  8617.1367    8619.5040  0.1903    0.1873
  8618.3652    8620.7330  0.2010    0.3552
  8619.9199    8622.2880  0.1936    0.4008
  8621.3574    8623.7260  0.2035    0.5968
  8622.8955    8625.2640  0.2021    0.5840
  8624.5439    8626.9130  0.1998    0.9917
  8626.0693    8628.4390  0.1994    0.8934
  8627.9229    8630.2930  0.1976    1.3897
  8629.4307    8631.8010  0.1973    1.2563
  8631.4961    8633.8670  0.2001    1.6280
  8632.9873    8635.3590  0.2107    1.3567
  8635.2666    8637.6390  0.2026    1.6369
  8636.7256    8639.0980  0.2034    1.1784
  8639.2500    8641.6230  0.2068    1.1066
  8640.6592    8643.0330  0.1992    0.5475
  8641.8545    8644.2280  0.2141    0.3259
  8642.2803    8644.6540  0.2331    0.2297
  8643.8799    8646.2540  0.2057    0.0559
  8646.8994    8649.2750  0.2065    1.2514
  8649.7158    8652.0920  0.2368    1.6251
  8650.3818    8652.7580  0.1685    0.8268
  8651.2939    8653.6700  0.2050    4.6954
  8652.2578    8654.6340  0.2300    0.1943
  8653.7686    8656.1460  0.1715    0.2628
  8654.3594    8656.7370  0.2115    4.9773
  8655.8623    8658.2400  0.2123    6.3010
  8657.7314    8660.1090  0.1991    0.2662
  8659.1406    8661.5190  0.1948    5.6847
  8660.6436    8663.0220  0.1989    6.5728
  8664.1299    8666.5100  0.2129    5.0979
  8665.5908    8667.9710  0.2163    6.0434
  8667.9570    8670.3380  0.1837    0.2170
  8669.2812    8671.6620  0.2147    4.7635
  8670.7305    8673.1120  0.2184    5.2720
  8674.6318    8677.0140  0.2180    3.5000
  8676.0664    8678.4490  0.2081    3.7420
  8680.1719    8682.5560  0.2141    2.4899
  8681.5889    8683.9730  0.2139    2.5033
  8683.4023    8685.7870  0.2803    0.1055
  8685.8926    8688.2780  0.2099    1.5132
  8687.3027    8689.6890  0.2121    1.6904
  8691.8115    8694.1990  0.2037    0.8302
  8693.2119    8695.6000  0.2135    0.9427
  8697.9199    8700.3090  0.2088    0.4466
  8699.3057    8701.6950  0.2071    0.5248
  8700.1221    8702.5120  0.2174    0.5134
  8700.6934    8703.0830  0.2101    0.4567
  8701.6357    8704.0260  0.2343    0.1092
  8702.1357    8704.5260  0.1611    0.1104
  8704.2119    8706.6030  0.2208    0.2644
  8705.6084    8707.9990  0.2261    0.2620
  8706.9551    8709.3460  0.2200    0.7120
  8707.9912    8710.3830  0.2188    0.5934
  8710.7178    8713.1100  0.2104    0.1557
  8711.5947    8713.9870  0.1277    0.0957
  8712.0811    8714.4740  0.2009    0.1564
  8716.6309    8719.0250  0.1705    0.1056
  8717.4072    8719.8010  0.2993    0.1102
  8718.7539    8721.1480  0.1998    0.1154
  8726.7539    8729.1510  0.2171    0.3780
  8737.4805    8739.8800  0.2101    0.2676
  8739.1641    8741.5640  0.2146    0.2064
  8740.6035    8743.0040  0.2135    0.3260
  8742.9736    8745.3750  0.2213    0.2194
  8746.9824    8749.3850  0.2451    0.1280
  8750.2480    8752.6510  0.2142    0.3639
  8758.7295    8761.1350  0.2129    6.5773
  8760.2783    8762.6840  0.2084    3.1061
  8761.3369    8763.7430  0.2300   13.5895
  8761.6172    8764.0230  0.2680    4.7877
  8763.0166    8765.4230  0.2214    0.5219
  8763.7236    8766.1300  0.2109    0.4298
  8766.4189    8768.8260  0.2324    7.1627
  8767.9248    8770.3330  0.2183   22.7940
  8769.1592    8771.5670  0.2015    0.7248
  8770.3760    8772.7850  0.2086    0.5947
  8775.0352    8777.4450  0.2573    0.2276
  8776.2217    8778.6320  0.2280   10.2830
  8778.3438    8780.7550  0.2117   25.0033
  8790.2402    8792.6540  0.2247    0.7836
  8791.1895    8793.6040  0.2333    9.4346
  8801.5957    8804.0130  0.1256    0.1356
  8801.9570    8804.3740  0.2074    0.1347
  8809.2188    8811.6380  0.2233    0.7206
  8810.1826    8812.6020  0.2577    0.4884
