wave(air/A)  wave(vac/A)  f1     f2
  5202.966    5204.415    9-2    Q1f(1.5)
  5202.984    5204.433    9-2    Q1e(1.5)
  5206.725    5208.175    9-2    Q2f(1.5)
  5206.824    5208.274    9-2    Q2e(1.5)
  5224.116    5225.571    9-2    P1e(2.5)
  5224.158    5225.613    9-2    P1f(2.5)
  5238.704    5240.162    9-2    P1e(3.5)
  5238.789    5240.247    9-2    P1f(3.5)
  5256.012    5257.475    9-2    P1e(4.5)
  5256.153    5257.616    9-2    P1f(4.5)
  5256.741    5258.204    6-0    R2e(1.5)
  5256.753    5258.216    6-0    R1f(1.5)
  5256.753    5258.216    6-0    R2f(1.5)
  5256.770    5258.233    6-0    R1e(1.5)
  5542.228    5543.767    7-1    R1f(2.5)
  5542.245    5543.784    7-1    R1e(2.5)
  5544.571    5546.111    7-1    R1f(1.5)
  5544.587    5546.127    7-1    R1e(1.5)
  5544.869    5546.409    7-1    R2e(1.5)
  5544.885    5546.425    7-1    R2f(1.5)
  5562.933    5564.478    7-1    Q2f(0.5)
  5563.011    5564.556    7-1    Q2e(0.5)
  5563.981    5565.526    7-1    Q1f(1.5)
  5564.006    5565.551    7-1    Q1e(1.5)
  5569.493    5571.040    7-1    Q1f(2.5)
  5569.583    5571.130    7-1    Q1e(2.5)
  5581.190    5582.740    7-1    P2e(1.5)
  5581.236    5582.786    7-1    P2f(1.5)
  5589.103    5590.655    7-1    P1e(2.5)
  5589.152    5590.704    7-1    P1f(2.5)
  5597.771    5599.325    7-1    P2e(2.5)
  5597.799    5599.353    7-1    P2f(2.5)
  5605.094    5606.650    7-1    P1e(3.5)
  5605.192    5606.748    7-1    P1f(3.5)
  5617.158    5618.717    7-1    P2f(3.5)
  5617.163    5618.722    7-1    P2e(3.5)
  5623.751    5625.312    7-1    P1e(4.5)
  5623.910    5625.471    7-1    P1f(4.5)
  5639.268    5640.833    7-1    P2f(4.5)
  5639.316    5640.881    7-1    P2e(4.5)
  5865.447    5867.073    8-2    R1f(2.5)
  5865.461    5867.087    8-2    R1e(2.5)
  5865.989    5867.615    8-2    R1f(3.5)
  5865.991    5867.617    8-2    R1e(3.5)
  5867.234    5868.860    8-2    R2e(2.5)
  5867.273    5868.899    8-2    R2f(2.5)
  5867.532    5869.158    8-2    R1f(1.5)
  5867.548    5869.174    8-2    R1e(1.5)
  5868.290    5869.917    8-2    R2e(1.5)
  5868.311    5869.938    8-2    R2f(1.5)
  5869.467    5871.094    8-2    R2e(3.5)
  5869.512    5871.139    8-2    R2f(3.5)
  5872.725    5874.353    8-2    R2f(0.5)
  5872.729    5874.357    8-2    R2e(0.5)
  5887.089    5888.721    8-2    Q2f(0.5)
  5887.169    5888.801    8-2    Q2e(0.5)
  5888.171    5889.803    8-2    Q1f(1.5)
  5888.196    5889.828    8-2    Q1e(1.5)
  5894.422    5896.056    8-2    Q1f(2.5)
  5894.514    5896.148    8-2    Q1e(2.5)
  5906.673    5908.310    8-2    P2e(1.5)
  5906.725    5908.362    8-2    P2f(1.5)
  5915.275    5916.914    8-2    P1e(2.5)
  5915.327    5916.966    8-2    P1f(2.5)
  5924.705    5926.347    8-2    P2e(2.5)
  5924.741    5926.383    8-2    P2f(2.5)
  5932.810    5934.454    8-2    P1e(3.5)
  5932.914    5934.558    8-2    P1f(3.5)
  5945.930    5947.577    8-2    P2e(3.5)
  5945.933    5947.580    8-2    P2f(3.5)
  5953.336    5954.985    8-2    P1e(4.5)
  5953.505    5955.154    8-2    P1f(4.5)
  5970.256    5971.910    8-2    P2f(4.5)
  5970.299    5971.953    8-2    P2e(4.5)
  5976.953    5978.609    8-2    P1e(5.5)
  5977.200    5978.856    8-2    P1f(5.5)
  5997.715    5999.376    8-2    P2f(5.5)
  5997.814    5999.475    8-2    P2e(5.5)
  6003.744    6005.407    8-2    P1e(6.5)
  6004.078    6005.741    8-2    P1f(6.5)
  6028.353    6030.023    8-2    P2f(6.5)
  6028.518    6030.188    8-2    P2e(6.5)
  6033.783    6035.454    8-2    P1e(7.5)
  6034.214    6035.885    8-2    P1f(7.5)
  6067.147    6068.827    8-2    P1e(8.5)
  6068.684    6070.364    8-2    P1f(8.5)
  6136.541    6138.240    5-0    R1f(4.5)
  6136.566    6138.265    5-0    R1e(4.5)
  6136.767    6138.466    5-0    R1f(3.5)
  6136.804    6138.503    5-0    R1e(3.5)
  6138.859    6140.558    5-0    R1f(5.5)
  6138.863    6140.562    5-0    R1e(5.5)
  6139.447    6141.146    5-0    R1f(2.5)
  6139.485    6141.184    5-0    R1e(2.5)
  6143.368    6145.068    5-0    R2e(1.5)
  6143.381    6145.081    5-0    R2f(1.5)
  6144.462    6146.163    5-0    R1f(1.5)
  6144.491    6146.192    5-0    R1e(1.5)
  6150.917    6152.619    5-0    R2f(0.5)
  6150.934    6152.636    5-0    R2e(0.5)
  6170.621    6172.329    5-0    Q1f(1.5)
  6170.656    6172.364    5-0    Q1e(1.5)
  6176.223    6177.932    5-0    Q1f(2.5)
  6176.350    6178.059    5-0    Q1e(2.5)
  6184.264    6185.975    5-0    Q1f(3.5)
  6184.551    6186.262    5-0    Q1e(3.5)
  6192.910    6194.624    5-0    P2e(1.5)
  6192.964    6194.678    5-0    P2f(1.5)
  6202.688    6204.404    5-0    P1e(2.5)
  6202.752    6204.468    5-0    P1f(2.5)
  6213.045    6214.764    5-0    P2e(2.5)
  6213.071    6214.790    5-0    P2f(2.5)
  6221.710    6223.431    5-0    P1e(3.5)
  6221.832    6223.553    5-0    P1f(3.5)
  6234.289    6236.014    9-3    R1f(2.5)
  6234.297    6236.022    9-3    R1e(2.5)
  6235.662    6237.387    9-3    R1e(3.5)
  6235.672    6237.397    9-3    R1f(3.5)
  6235.942    6237.667    9-3    R1f(1.5)
  6235.956    6237.681    9-3    R1e(1.5)
  6236.006    6237.731    5-0    P2f(3.5)
  6236.023    6237.748    5-0    P2e(3.5)
  6236.964    6238.689    9-3    R2e(2.5)
  6237.017    6238.742    9-3    R2f(2.5)
  6237.394    6239.120    9-3    R2e(1.5)
  6237.427    6239.153    9-3    R2f(1.5)
  6240.176    6241.902    9-3    R1e(4.5)
  6240.219    6241.945    9-3    R1f(4.5)
  6241.686    6243.413    9-3    R2e(0.5)
  6241.689    6243.416    9-3    R2f(0.5)
  6243.546    6245.273    5-0    P1e(4.5)
  6243.738    6245.465    5-0    P1f(4.5)
  6247.957    6249.685    9-3    R1e(5.5)
  6248.047    6249.775    9-3    R1f(5.5)
  6256.900    6258.631    9-3    Q2f(0.5)
  6256.982    6258.713    9-3    Q2e(0.5)
  6257.949    6259.680    9-3    Q1f(1.5)
  6257.974    6259.705    9-3    Q1e(1.5)
  6261.721    6263.453    5-0    P2f(4.5)
  6261.792    6263.524    5-0    P2e(4.5)
  6262.664    6264.396    9-3    Q2f(1.5)
  6262.804    6264.536    9-3    Q2e(1.5)
  6265.168    6266.901    9-3    Q1f(2.5)
  6265.261    6266.994    9-3    Q1e(2.5)
  6268.270    6270.004    5-0    P1e(5.5)
  6268.540    6270.274    5-0    P1f(5.5)
  6272.217    6273.952    9-3    Q2f(2.5)
  6272.373    6274.108    9-3    Q2e(2.5)
  6275.485    6277.221    9-3    Q1f(3.5)
  6275.698    6277.434    9-3    Q1e(3.5)
  6278.060    6279.796    9-3    P2e(1.5)
  6278.121    6279.858    9-3    P2f(1.5)
  6287.407    6289.146    9-3    P1e(2.5)
  6287.462    6289.201    9-3    P1f(2.5)
  6297.879    6299.621    9-3    P2e(2.5)
  6297.927    6299.669    9-3    P2f(2.5)
  6306.869    6308.613    9-3    P1e(3.5)
  6306.981    6308.725    9-3    P1f(3.5)
  6321.390    6323.138    9-3    P2e(3.5)
  6321.406    6323.154    9-3    P2f(3.5)
  6329.747    6331.497    9-3    P1e(4.5)
  6329.933    6331.683    9-3    P1f(4.5)
  6348.516    6350.271    9-3    P2f(4.5)
  6348.547    6350.302    9-3    P2e(4.5)
  6356.167    6357.924    9-3    P1e(5.5)
  6356.441    6358.199    9-3    P1f(5.5)
  6379.268    6381.032    9-3    P2f(5.5)
  6379.361    6381.125    9-3    P2e(5.5)
  6386.236    6388.002    9-3    P1e(6.5)
  6386.611    6388.377    9-3    P1f(6.5)
  6413.720    6415.493    9-3    P2f(6.5)
  6413.885    6415.658    9-3    P2e(6.5)
  6420.056    6421.831    9-3    P1e(7.5)
  6420.544    6422.319    9-3    P1f(7.5)
  6451.960    6453.743    9-3    P2f(7.5)
  6452.209    6453.992    9-3    P2e(7.5)
  6457.734    6459.519    9-3    P1e(8.5)
  6458.344    6460.129    9-3    P1f(8.5)
  6463.505    6465.291    6-1    R1f(3.5)
  6463.538    6465.324    6-1    R1e(3.5)
  6463.793    6465.579    6-1    R1f(4.5)
  6463.810    6465.596    6-1    R1e(4.5)
  6464.870    6466.657    6-1    R2e(3.5)
  6464.922    6466.709    6-1    R2f(3.5)
  6465.828    6467.615    6-1    R2e(2.5)
  6465.867    6467.654    6-1    R2f(2.5)
  6465.936    6467.723    6-1    R1f(2.5)
  6465.971    6467.758    6-1    R1e(2.5)
  6470.138    6471.926    6-1    R2e(1.5)
  6470.152    6471.940    6-1    R2f(1.5)
  6470.960    6472.748    6-1    R1f(1.5)
  6470.988    6472.776    6-1    R1e(1.5)
  6477.902    6479.692    6-1    R2f(0.5)
  6477.919    6479.709    6-1    R2e(0.5)
  6497.471    6499.266    6-1    Q2f(0.5)
  6497.582    6499.377    6-1    Q2e(0.5)
  6498.711    6500.507    6-1    Q1f(1.5)
  6498.746    6500.542    6-1    Q1e(1.5)
  6504.931    6506.728    6-1    Q1f(2.5)
  6505.060    6506.857    6-1    Q1e(2.5)
  6513.845    6515.645    6-1    Q1f(3.5)
  6514.137    6515.937    6-1    Q1e(3.5)
  6522.396    6524.198    6-1    P2e(1.5)
  6522.455    6524.257    6-1    P2f(1.5)
  6533.011    6534.816    6-1    P1e(2.5)
  6533.077    6534.882    6-1    P1f(2.5)
  6544.006    6545.814    6-1    P2e(2.5)
  6544.038    6545.846    6-1    P2f(2.5)
  6553.553    6555.364    6-1    P1e(3.5)
  6553.681    6555.492    6-1    P1f(3.5)
  6568.772    6570.587    6-1    P2f(3.5)
  6568.786    6570.601    6-1    P2e(3.5)
  6577.183    6579.000    6-1    P1e(4.5)
  6577.386    6579.203    6-1    P1f(4.5)
  6596.608    6598.430    6-1    P2f(4.5)
  6596.679    6598.501    6-1    P2e(4.5)
  6603.990    6605.814    6-1    P1e(5.5)
  6604.279    6606.103    6-1    P1f(5.5)
  6627.555    6629.385    6-1    P2f(5.5)
  6627.679    6629.509    6-1    P2e(5.5)
  6634.038    6635.870    6-1    P1e(6.5)
  6634.421    6636.253    6-1    P1f(6.5)
  6634.421    6636.253    6-1    P1f(6.5)
  6661.664    6663.504    6-1    P2f(6.5)
  6661.878    6663.718    6-1    P2e(6.5)
  6667.384    6669.225    6-1    P1e(7.5)
  6667.869    6669.710    6-1    P1f(7.5)
  6699.008    6700.858    6-1    P2f(7.5)
  6699.304    6701.154    6-1    P2e(7.5)
  6704.087    6705.938    6-1    P1e(8.5)
  6704.683    6706.534    6-1    P1f(8.5)
  6744.216    6746.078    6-1    P1e(9.5)
  6744.933    6746.795    6-1    P1f(9.5)
  6787.849    6789.723    6-1   P1e(10.5)
  6788.697    6790.571    6-1   P1f(10.5)
  6827.446    6829.330    7-2    R1f(3.5)
  6827.472    6829.356    7-2    R1e(3.5)
  6828.466    6830.350    7-2    R1f(4.5)
  6828.473    6830.357    7-2    R1e(4.5)
  6829.474    6831.359    7-2    R1f(2.5)
  6829.507    6831.392    7-2    R1e(2.5)
  6829.536    6831.421    7-2    R2e(3.5)
  6829.593    6831.478    7-2    R2f(3.5)
  6829.900    6831.785    7-2    R2e(2.5)
  6829.944    6831.829    7-2    R2f(2.5)
  6832.621    6834.507    7-2    R1e(5.5)
  6832.648    6834.534    7-2    R1f(5.5)
  6832.803    6834.689    7-2    R2e(4.5)
  6832.860    6834.746    7-2    R2f(4.5)
  6833.999    6835.885    7-2    R2e(1.5)
  6834.018    6835.904    7-2    R2f(1.5)
  6834.420    6836.306    7-2    R1f(1.5)
  6834.447    6836.333    7-2    R1e(1.5)
  6839.635    6841.522    7-2    R2e(5.5)
  6839.681    6841.568    7-2    R2f(5.5)
  6840.011    6841.899    7-2    R1e(6.5)
  6840.082    6841.970    7-2    R1f(6.5)
  6841.937    6843.825    7-2    R2f(0.5)
  6841.953    6843.841    7-2    R2e(0.5)
  6850.005    6851.895    7-2    R2e(6.5)
  6850.028    6851.918    7-2    R2f(6.5)
  6850.722    6852.612    7-2    R1e(7.5)
  6850.851    6852.741    7-2    R1f(7.5)
  6862.622    6864.516    7-2    Q2f(0.5)
  6862.738    6864.632    7-2    Q2e(0.5)
  6863.937    6865.831    7-2    Q1f(1.5)
  6863.973    6865.867    7-2    Q1e(1.5)
  6868.294    6870.189    7-2    Q2f(1.5)
  6868.490    6870.385    7-2    Q2e(1.5)
  6870.929    6872.825    7-2    Q1f(2.5)
  6871.060    6872.956    7-2    Q1e(2.5)
  6880.936    6882.835    7-2    Q1f(3.5)
  6881.234    6883.133    7-2    Q1e(3.5)
  6889.255    6891.156    7-2    P2e(1.5)
  6889.321    6891.222    7-2    P2f(1.5)
  6894.088    6895.990    7-2    Q1f(4.5)
  6894.628    6896.530    7-2    Q1e(4.5)
  6900.799    6902.703    7-2    P1e(2.5)
  6900.867    6902.771    7-2    P1f(2.5)
  6912.603    6914.510    7-2    P2e(2.5)
  6912.642    6914.549    7-2    P2f(2.5)
  6923.152    6925.062    7-2    P1e(3.5)
  6923.287    6925.197    7-2    P1f(3.5)
  6939.518    6941.432    7-2    P2f(3.5)
  6939.525    6941.439    7-2    P2e(3.5)
  6948.936    6950.853    7-2    P1e(4.5)
  6949.153    6951.070    7-2    P1f(4.5)
  6969.896    6971.819    7-2    P2f(4.5)
  6969.963    6971.886    7-2    P2e(4.5)
  6978.258    6980.183    7-2    P1e(5.5)
  6978.569    6980.494    7-2    P1f(5.5)
  7003.788    7005.720    7-2    P2f(5.5)
  7003.928    7005.860    7-2    P2e(5.5)
  7011.202    7013.136    7-2    P1e(6.5)
  7011.618    7013.552    7-2    P1f(6.5)
  7041.251    7043.193    7-2    P2f(6.5)
  7041.473    7043.415    7-2    P2e(6.5)
  7047.846    7049.790    7-2    P1e(7.5)
  7048.376    7050.320    7-2    P1f(7.5)
  7082.370    7084.323    7-2    P2f(7.5)
  7082.683    7084.636    7-2    P2e(7.5)
  7088.266    7090.220    7-2    P1e(8.5)
  7088.922    7090.877    7-2    P1f(8.5)
  7127.248    7129.213    7-2    P2f(8.5)
  7127.661    7129.626    7-2    P2e(8.5)
  7132.553    7134.519    7-2    P1e(9.5)
  7133.346    7135.313    7-2    P1f(9.5)
