wave(air/A)  wave(vac/A)  line
  5867.273    5868.899     OH_(8-2)_R2f(2.5)
  5915.327    5916.966     OH_(8-2)_P1f(2.5)
  5932.914    5934.558     OH_(8-2)_P1f(3.5)
  5945.933    5947.580     OH_(8-2)_P2f(3.5)
  5953.505    5955.154     OH_(8-2)_P1f(4.5)
  5977.200    5978.856     OH_(8-2)_P1f(5.5)
  6170.621    6172.329     OH_(5-0)_Q1f(1.5)
  6202.752    6204.468     OH_(5-0)_P1f(2.5)
  6221.832    6223.553     OH_(5-0)_P1f(3.5)
  6236.006    6237.731     OH_(5-0)_P2f(3.5)
  6241.689    6243.416     OH_(9-3)_R2f(0.5)
  6243.546    6245.273     OH_(5-0)_P1e(4.5)
  6257.949    6259.680     OH_(9-3)_Q1f(1.5)
  6265.168    6266.901     OH_(9-3)_Q1f(2.5)
  6287.462    6289.201     OH_(9-3)_P1f(2.5)
  6297.927    6299.669     OH_(9-3)_P2f(2.5)
  6306.981    6308.725     OH_(9-3)_P1f(3.5)
  6321.406    6323.154     OH_(9-3)_P2f(3.5)
  6329.933    6331.683     OH_(9-3)_P1f(4.5)
  6348.516    6350.271     OH_(9-3)_P2f(4.5)
  6356.441    6358.199     OH_(9-3)_P1f(5.5)
  6386.611    6388.377     OH_(9-3)_P1f(6.5)
  6465.867    6467.654     OH_(6-1)_R2f(2.5)
  6470.988    6472.776     OH_(6-1)_R1e(1.5)
  6498.711    6500.507     OH_(6-1)_Q1f(1.5)
  6505.060    6506.857     OH_(6-1)_Q1e(2.5)
  6522.455    6524.257     OH_(6-1)_P2f(1.5)
  6533.077    6534.882     OH_(6-1)_P1f(2.5)
  6544.038    6545.846     OH_(6-1)_P2f(2.5)
  6553.681    6555.492     OH_(6-1)_P1f(3.5)
  6568.772    6570.587     OH_(6-1)_P2f(3.5)
  6577.386    6579.203     OH_(6-1)_P1f(4.5)
  6604.279    6606.103     OH_(6-1)_P1f(5.5)
  6829.536    6831.421     OH_(7-2)_R2e(3.5)
  6834.447    6836.333     OH_(7-2)_R1e(1.5)
  6841.953    6843.841     OH_(7-2)_R2e(0.5)
  6863.973    6865.867     OH_(7-2)_Q1e(1.5)
  6871.060    6872.956     OH_(7-2)_Q1e(2.5)
  6881.234    6883.133     OH_(7-2)_Q1e(3.5)
  6889.321    6891.222     OH_(7-2)_P2f(1.5)
  6900.867    6902.771     OH_(7-2)_P1f(2.5)
  6912.642    6914.549     OH_(7-2)_P2f(2.5)
  6923.287    6925.197     OH_(7-2)_P1f(3.5)
  6939.525    6941.439     OH_(7-2)_P2e(3.5)
  6949.153    6951.070     OH_(7-2)_P1f(4.5)
  6969.963    6971.886     OH_(7-2)_P2e(4.5)
  6978.569    6980.494     OH_(7-2)_P1f(5.5)
  7003.928    7005.860     OH_(7-2)_P2e(5.5)
  7011.618    7013.552     OH_(7-2)_P1f(6.5)
  7048.376    7050.320     OH_(7-2)_P1f(7.5)
  7240.194    7242.189     OH_(8-3)_R1e(2.5)
  7245.110    7247.107     OH_(8-3)_R2f(1.5)
  7246.488    7248.485     OH_(8-3)_R1e(5.5)
  7253.132    7255.131     OH_(8-3)_R2e(0.5)
  7276.387    7278.392     OH_(8-3)_Q1f(1.5)
  7284.506    7286.513     OH_(8-3)_Q1e(2.5)
  7296.092    7298.102     OH_(8-3)_Q1e(3.5)
  7303.753    7305.765     OH_(8-3)_P2f(1.5)
  7316.318    7318.334     OH_(8-3)_P1f(2.5)
  7329.173    7331.192     OH_(8-3)_P2f(2.5)
  7340.957    7342.980     OH_(8-3)_P1f(3.5)
  7358.662    7360.689     OH_(8-3)_P2f(3.5)
  7369.483    7371.513     OH_(8-3)_P1f(4.5)
  7392.228    7394.264     OH_(8-3)_P2e(4.5)
