# line_name  line_lambda  line_f     hlsp_name
SiIV1393     1393.7602    5.13E-01   si-iv
SiIV1402     1402.7729    2.54E-01   si-iv
CIV1548      1548.204     1.899E-01  c-iv
CIV1550      1550.781     9.475E-02  c-iv
NV1238       1238.821     1.560E-01  n-v
NV1242       1242.804     7.770E-02  n-v
OVI1031      1031.9261    1.325E-01  o-vi
OVI1037      1037.6167    6.580E-02  o-vi
SiII1190     1190.4158    2.92E-01   si-ii
SiII1193     1193.2897    5.82E-01   si-ii
SiII1260     1260.4221    1.18E+00   si-ii
SiII1526     1526.7070    1.33E-01   si-ii
SiII1808     1808.0129    2.08E-03   si-iii
SiIII1206    1206.500     1.63E+00   c-ii
CII1334      1334.5323    1.28E-01   c-ii
CII1335      1335.6627    1.28E-02   s-ii
SII1250      1250.578     5.43E-03   s-ii
SII1253      1253.805     1.09E-02   s-ii
SII1259      1259.518     1.66E-02   fe-ii
FeII1142     1142.3656    4.01E-03   fe-ii
FeII1143     1143.2260    1.92E-02   fe-ii
FeII1144     1144.9379    8.30E-02   fe-ii
PII1152      1152.8180    2.45E-01   p-ii
AlII1670     1670.7886    1.74E+00   al-ii
